#,Category ,Sub-Category 1,Sub-Category 2,Unit,,,
1,FOOD,Ready to Cook,Rice ,Kilogram,,,
,,,Green gram (cheru payar) ,Kilogram,,,
,,,Red bean(van payar) ,Kilogram,,,
,,,Coconut Oil ,Litre,,,
,,,Sunflower Oil,Litre,,,
,,,Bengal gram (kadala) ,Kilogram,,,
,,,Dal ,Kilogram,,,
,,,Raggi ,Kilogram,,,
,,,Coffee powder ,Packets,,,
,,,Tea powder ,Packets,,,
,,,Jaggeri (sarkkara) ,Kilogram,,,
,,,Rava ,Kilogram,,,
,,,Atta ,Kilogram,,,
,,,Chilli powder ,Packets,,,
,,,Turmeric Powder,Packets,,,
,,,Coriander Powder,Packets,,,
,,,Masala powder ,Packets,,,
,,,Salt ,Kilogram,,,
,,,Rajma  Payar ,Kilogram,,,
,,,Sugar ,Kilogram,,,
,,,Milk powder ,Packets,,,
,,,Maida,Kilogram,,,
,,,Mustard ,Packets,,,
,,,Sambar Powder,Packets,,,
,,,Rasam Powder,Packets,,,
,,,Cornflakes ,Packets,,,
,,,Oats ,Packets,,,
,,,Semia,Packets,,,
,,,Noodles,Packets,,,
,,Ready to Eat,Aval,Kilogram,,,
,,,Biscut ,Packets,,,
,,,Rusk ,Packets,,,
,,,Bread ,Packets,,,
,,,Pickle ,Packets,,,
,,,Mixture ,Packets,,,
,,,Cashew nut,Packets,,,
,,,Cake ,Packets,,,
,,,Dry fruits,Packets,,,
,,,Banana,Kilogram,,,
,,,Chapati,Packets,,,
2,MEDICINES,Fever,Paracetamol,Numbers,,,
,,,Dolo 650,Numbers,,,
,,,Syrup PCM,Numbers,,,
,,,Vicks,Numbers,,,
,,,cetrizine,Numbers,,,
,,Gastritis,Rantac,Numbers,,,
,,Body Pain,diclofenac  tab,Numbers,,,
,,,diclofenac  gel,Numbers,,,
,,Eli Pani,Doxycycline,Numbers,,,
,,Fungal Infection,Antifungal cream,Numbers,,,
,,Itching,calamine,Numbers,,,
,,vertigo(talakarakam),vertin16 mg,Numbers,,,
,,diabetics,Metformin,Numbers,,,
,,Cardiac stat,aspirin,Numbers,,,
,,Wound,Bandages,Numbers,,,
,,,betadine ointment,Numbers,,,
,,,spirit betadine lotion,Numbers,,,
,,Dehydration,Glucose ,,,,
,,,ORS,,,,
3,WATER BOTTLE,,,,,,
4,CLEANING MATERIALS,Lotion,Dettol,Liters,,,
,,,Lizol,Liters,,,
,,,Phenol,Liters,,,
,,,Toilet cleaner,Liters,,,
,,Bleaching powder ,,Packets,,,
,,Cleaning Utensils,Bucket ,,,,
,,,Mug ,,,,
5,TOILETRIES,Soap,Bathing soap ,,,,
,,,Washing soap ,,,,
,,,Detergent,,,Baby food ,
,,,Hand Wash,,,Baby soap ,118
,,Paste & Brush,Toothbrush ,,,Baby lotion ,13
,,,Toothpaste ,,,Baby Dress,5
6,CANDLES AND LIGHTING,Candles,,,,Baby towel ,25
,,Match box,,,,Baby Cream ,16
,,Tourch,Lighters ,,,Feeding bottles,6
,,,,,,,
7,DRESS,Women,Nighty ,,,Bath tub ,8
,,,Panties,,,Baby under garments ,47
,,,Bra ,,,Baby toy ,2
,,,Underskirt ,,,Baby pamper ,
,,,Shemmis ,,,,
,,,Saree,,,,
,,,,,,,
,,Men,Lungi ,,,,
,,,T shirt ,,,,
,,,Gents inners ,,,,
,,,Cap ,,,,
,,,Shirt ,,,,
,,,Baniyan,,,,
